Date,Campaign type,Campaign name,Ad set name,Model,Unique leads,Cost,Clicks (all),CPC (all),Link clicks,CPC (cost per link click),Impressions,Reach,Unique clicks (all),CPM (cost per 1000 impressions),Cost per action (CPA),Inversion Planeada,CPL proyectado,Meta Leads,Meta Conversaciones,Meta Clicks,CPC proyectado,Meta Seguidores,CPS proyectado,Meta interacciones,CPE Proyectado,Meta Alcance,CPA alcance proyectado,CPMA proyectado,CPA proyectado
2024-09-03,PERFORMANCE,13 Leads_Whatsapp_HMC_Marca_CPC_CLI_POST_SEPTIEMBRE_FB$3.500.000,WHATSAPP_CB 100,Whatsapp General,0,10597,66,160.56,18,588.72,896,735,53,11827.01,14.86,3500000.0,0.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0
2024-09-03,PERFORMANCE,13 Leads_Whatsapp_HMC_Marca_CPC_CLI_POST_SEPTIEMBRE_FB$3.500.000,WHATSAPP_CB 300F,Whatsapp General,0,11273,69,163.38,45,250.51,1756,1414,58,6419.7,46.01,3500000.0,0.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0
2024-09-03,PERFORMANCE,13 Leads_Whatsapp_HMC_Marca_CPC_CLI_POST_SEPTIEMBRE_FB$3.500.000,WHATSAPP_CB125F,Whatsapp General,0,11106,46,241.43,25,444.24,855,706,40,12989.47,76.59,3500000.0,0.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0
2024-09-03,PERFORMANCE,13 Leads_Whatsapp_HMC_Marca_CPC_CLI_POST_SEPTIEMBRE_FB$3.500.000,WHATSAPP_DIO_DLX,Whatsapp General,0,11185,59,189.58,29,385.69,1177,954,51,9502.97,71.7,3500000.0,0.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0
2024-09-03,PERFORMANCE,13 Leads_Whatsapp_HMC_Marca_CPC_CLI_POST_SEPTIEMBRE_FB$3.500.000,WHATSAPP_DIO_STD,Whatsapp General,0,11195,63,177.7,26,430.58,1032,845,52,10847.87,75.13,3500000.0,0.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0
2024-09-03,PERFORMANCE,13 Leads_Whatsapp_HMC_Marca_CPC_CLI_POST_SEPTIEMBRE_FB$3.500.000,WHATSAPP_NAVI,Whatsapp General,0,11111,61,182.15,34,326.79,2010,1641,49,5527.86,62.77,3500000.0,0.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0
2024-09-03,PERFORMANCE,13 Leads_Whatsapp_HMC_Marca_CPC_CLI_POST_SEPTIEMBRE_FB$3.500.000,WHATSAPP_PCX 160 ABS,Whatsapp General,0,11216,66,169.94,33,339.88,1009,838,53,11115.96,61.63,3500000.0,0.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0
2024-09-03,PERFORMANCE,13 Leads_Whatsapp_HMC_Marca_CPC_CLI_POST_SEPTIEMBRE_FB$3.500.000,WHATSAPP_WAVE 110S E3,Whatsapp General,0,11002,100,110.02,53,207.58,1384,1161,70,7949.42,44.91,3500000.0,0.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0
2024-09-03,PERFORMANCE,13 Leads_Whatsapp_HMC_Marca_CPC_CLI_POST_SEPTIEMBRE_FB$3.500.000,WHATSAPP_XBLADE,Whatsapp General,0,10939,40,273.48,22,497.23,1143,969,36,9570.43,95.96,3500000.0,0.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0
2024-09-03,PERFORMANCE,13 Leads_Whatsapp_HMC_Marca_CPC_CLI_POST_SEPTIEMBRE_FB$3.500.000,WHATSAPP_XR 150L E3,Whatsapp General,0,11124,100,111.24,54,206.0,1729,1417,79,6433.78,35.09,3500000.0,0.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0
